질문코드,질문내용,보기번호,보기내용,파일명
문항1_qpoll_join_250106,여러분은 평소 체력 관리를 위해 어떤 활동을 하고 계신가요? 모두 선택해주세요.,,,qpoll_join_250106
문항1_qpoll_join_250106,여러분은 평소 체력 관리를 위해 어떤 활동을 하고 계신가요? 모두 선택해주세요.,1,헬스,qpoll_join_250106
문항1_qpoll_join_250106,여러분은 평소 체력 관리를 위해 어떤 활동을 하고 계신가요? 모두 선택해주세요.,2,홈트레이닝,qpoll_join_250106
문항1_qpoll_join_250106,여러분은 평소 체력 관리를 위해 어떤 활동을 하고 계신가요? 모두 선택해주세요.,3,요가/필라테스,qpoll_join_250106
문항1_qpoll_join_250106,여러분은 평소 체력 관리를 위해 어떤 활동을 하고 계신가요? 모두 선택해주세요.,4,달리기/걷기,qpoll_join_250106
문항1_qpoll_join_250106,여러분은 평소 체력 관리를 위해 어떤 활동을 하고 계신가요? 모두 선택해주세요.,5,자전거 타기,qpoll_join_250106
문항1_qpoll_join_250106,여러분은 평소 체력 관리를 위해 어떤 활동을 하고 계신가요? 모두 선택해주세요.,6,"스포츠(축구, 배드민턴 등)",qpoll_join_250106
문항1_qpoll_join_250106,여러분은 평소 체력 관리를 위해 어떤 활동을 하고 계신가요? 모두 선택해주세요.,7,수영,qpoll_join_250106
문항1_qpoll_join_250106,여러분은 평소 체력 관리를 위해 어떤 활동을 하고 계신가요? 모두 선택해주세요.,8,등산,qpoll_join_250106
문항1_qpoll_join_250106,여러분은 평소 체력 관리를 위해 어떤 활동을 하고 계신가요? 모두 선택해주세요.,9,기타,qpoll_join_250106
문항1_qpoll_join_250106,여러분은 평소 체력 관리를 위해 어떤 활동을 하고 계신가요? 모두 선택해주세요.,10,체력관리를 위해 하고 있는 활동이 없다,qpoll_join_250106
문항1_qpoll_join_250604,여러분은 다가오는 여름철 가장 걱정되는 점이 무엇인가요?,,,qpoll_join_250604
문항1_qpoll_join_250604,여러분은 다가오는 여름철 가장 걱정되는 점이 무엇인가요?,1,더위와 땀,qpoll_join_250604
문항1_qpoll_join_250604,여러분은 다가오는 여름철 가장 걱정되는 점이 무엇인가요?,2,피부 트러블,qpoll_join_250604
문항1_qpoll_join_250604,여러분은 다가오는 여름철 가장 걱정되는 점이 무엇인가요?,3,냉방병,qpoll_join_250604
문항1_qpoll_join_250604,여러분은 다가오는 여름철 가장 걱정되는 점이 무엇인가요?,4,전기요금 부담,qpoll_join_250604
문항1_qpoll_join_250604,여러분은 다가오는 여름철 가장 걱정되는 점이 무엇인가요?,5,체력 저하,qpoll_join_250604
문항1_qpoll_join_250604,여러분은 다가오는 여름철 가장 걱정되는 점이 무엇인가요?,6,휴가 계획 스트레스,qpoll_join_250604
문항1_qpoll_join_250604,여러분은 다가오는 여름철 가장 걱정되는 점이 무엇인가요?,7,특별히 걱정되는 것이 없다,qpoll_join_250604
문항1_qpoll_join_250716,여러분의 휴대폰 갤러리에 가장 많이 저장되어져 있는 사진은 무엇인가요?,,,qpoll_join_250716
문항1_qpoll_join_250716,여러분의 휴대폰 갤러리에 가장 많이 저장되어져 있는 사진은 무엇인가요?,1,셀카/인물 사진,qpoll_join_250716
문항1_qpoll_join_250716,여러분의 휴대폰 갤러리에 가장 많이 저장되어져 있는 사진은 무엇인가요?,2,음식 사진,qpoll_join_250716
문항1_qpoll_join_250716,여러분의 휴대폰 갤러리에 가장 많이 저장되어져 있는 사진은 무엇인가요?,3,풍경/여행 사진,qpoll_join_250716
문항1_qpoll_join_250716,여러분의 휴대폰 갤러리에 가장 많이 저장되어져 있는 사진은 무엇인가요?,4,반려동물 사진,qpoll_join_250716
문항1_qpoll_join_250716,여러분의 휴대폰 갤러리에 가장 많이 저장되어져 있는 사진은 무엇인가요?,5,메모용 캡처/스크린샷,qpoll_join_250716
문항1_qpoll_join_250716,여러분의 휴대폰 갤러리에 가장 많이 저장되어져 있는 사진은 무엇인가요?,6,친구/가족과의 단체 사진,qpoll_join_250716
문항1_qpoll_join_250716,여러분의 휴대폰 갤러리에 가장 많이 저장되어져 있는 사진은 무엇인가요?,7,SNS/인터넷에서 저장한 이미지,qpoll_join_250716
문항1_qpoll_join_250716,여러분의 휴대폰 갤러리에 가장 많이 저장되어져 있는 사진은 무엇인가요?,8,"업무/학업 관련 사진(자료, 필기 등)",qpoll_join_250716
문항1_qpoll_join_250716,여러분의 휴대폰 갤러리에 가장 많이 저장되어져 있는 사진은 무엇인가요?,9,기타,qpoll_join_250716
문항1_qpoll_join_250624,여러분은 최근 가장 지출을 많이 한 곳은 어디입니까?,,,qpoll_join_250624
문항1_qpoll_join_250624,여러분은 최근 가장 지출을 많이 한 곳은 어디입니까?,1,외식비,qpoll_join_250624
문항1_qpoll_join_250624,여러분은 최근 가장 지출을 많이 한 곳은 어디입니까?,2,배달비,qpoll_join_250624
문항1_qpoll_join_250624,여러분은 최근 가장 지출을 많이 한 곳은 어디입니까?,3,옷/쇼핑,qpoll_join_250624
문항1_qpoll_join_250624,여러분은 최근 가장 지출을 많이 한 곳은 어디입니까?,4,"콘서트, 전시 등 문화생활",qpoll_join_250624
문항1_qpoll_join_250624,여러분은 최근 가장 지출을 많이 한 곳은 어디입니까?,5,기타,qpoll_join_250624
문항1_qpoll_join_250326,여러분은 올해 해외여행을 간다면 어디로 가고 싶나요? 모두 선택해주세요,,,qpoll_join_250326
문항1_qpoll_join_250326,여러분은 올해 해외여행을 간다면 어디로 가고 싶나요? 모두 선택해주세요,1,유럽,qpoll_join_250326
문항1_qpoll_join_250326,여러분은 올해 해외여행을 간다면 어디로 가고 싶나요? 모두 선택해주세요,2,동남아,qpoll_join_250326
문항1_qpoll_join_250326,여러분은 올해 해외여행을 간다면 어디로 가고 싶나요? 모두 선택해주세요,3,미국/캐나다,qpoll_join_250326
문항1_qpoll_join_250326,여러분은 올해 해외여행을 간다면 어디로 가고 싶나요? 모두 선택해주세요,4,일본/중국,qpoll_join_250326
문항1_qpoll_join_250326,여러분은 올해 해외여행을 간다면 어디로 가고 싶나요? 모두 선택해주세요,5,기타,qpoll_join_250326
문항1_qpoll_join_250326,여러분은 올해 해외여행을 간다면 어디로 가고 싶나요? 모두 선택해주세요,6,해외여행을 가고싶지 않다,qpoll_join_250326
문항1_qpoll_join_250310,현재 본인의 피부 상태에 얼마나 만족하시나요?,,,qpoll_join_250310
문항1_qpoll_join_250310,현재 본인의 피부 상태에 얼마나 만족하시나요?,1,매우 만족한다,qpoll_join_250310
문항1_qpoll_join_250310,현재 본인의 피부 상태에 얼마나 만족하시나요?,2,만족한다,qpoll_join_250310
문항1_qpoll_join_250310,현재 본인의 피부 상태에 얼마나 만족하시나요?,3,보통이다,qpoll_join_250310
문항1_qpoll_join_250310,현재 본인의 피부 상태에 얼마나 만족하시나요?,4,불만족한다,qpoll_join_250310
문항1_qpoll_join_250310,현재 본인의 피부 상태에 얼마나 만족하시나요?,5,매우 불만족한다,qpoll_join_250310
문항1_qpoll_join_250310,설문제목,,,qpoll_join_250310
문항1_qpoll_join_250310,설문제목,1,보기1,qpoll_join_250310
문항1_qpoll_join_250310,설문제목,2,보기2,qpoll_join_250310
문항1_qpoll_join_250310,설문제목,3,보기3,qpoll_join_250310
문항1_qpoll_join_250310,설문제목,4,보기4,qpoll_join_250310
문항1_qpoll_join_250310,설문제목,5,보기5,qpoll_join_250310
문항1_qpoll_join_250310,한 달 기준으로 스킨케어 제품에 평균적으로 얼마나 소비하시나요?,,,qpoll_join_250310
문항1_qpoll_join_250310,한 달 기준으로 스킨케어 제품에 평균적으로 얼마나 소비하시나요?,1,3만원 미만,qpoll_join_250310
문항1_qpoll_join_250310,한 달 기준으로 스킨케어 제품에 평균적으로 얼마나 소비하시나요?,2,3만원 이상 ~ 5만원 미만,qpoll_join_250310
문항1_qpoll_join_250310,한 달 기준으로 스킨케어 제품에 평균적으로 얼마나 소비하시나요?,3,5만원 이상 ~ 10만원 미만,qpoll_join_250310
문항1_qpoll_join_250310,한 달 기준으로 스킨케어 제품에 평균적으로 얼마나 소비하시나요?,4,10만원 이상 ~ 15만원 미만,qpoll_join_250310
문항1_qpoll_join_250310,한 달 기준으로 스킨케어 제품에 평균적으로 얼마나 소비하시나요?,5,15만원 이상,qpoll_join_250310
문항1_qpoll_join_250310,설문제목,,,qpoll_join_250310
문항1_qpoll_join_250310,설문제목,1,보기1,qpoll_join_250310
문항1_qpoll_join_250310,설문제목,2,보기2,qpoll_join_250310
문항1_qpoll_join_250310,설문제목,3,보기3,qpoll_join_250310
문항1_qpoll_join_250310,설문제목,4,보기4,qpoll_join_250310
문항1_qpoll_join_250310,설문제목,5,보기5,qpoll_join_250310
문항1_qpoll_join_250310,스킨케어 제품을 구매할 때 가장 중요하게 고려하는 요소는 무엇인가요?,,,qpoll_join_250310
문항1_qpoll_join_250310,스킨케어 제품을 구매할 때 가장 중요하게 고려하는 요소는 무엇인가요?,1,브랜드 명성,qpoll_join_250310
문항1_qpoll_join_250310,스킨케어 제품을 구매할 때 가장 중요하게 고려하는 요소는 무엇인가요?,2,제품 리뷰 및 사용 후기,qpoll_join_250310
문항1_qpoll_join_250310,스킨케어 제품을 구매할 때 가장 중요하게 고려하는 요소는 무엇인가요?,3,성분 및 효과,qpoll_join_250310
문항1_qpoll_join_250310,스킨케어 제품을 구매할 때 가장 중요하게 고려하는 요소는 무엇인가요?,4,가격,qpoll_join_250310
문항1_qpoll_join_250310,스킨케어 제품을 구매할 때 가장 중요하게 고려하는 요소는 무엇인가요?,5,패키지 디자인,qpoll_join_250310
문항1_qpoll_join_250605,"여러분은 버리기 아까운 물건이 있을 때, 주로 어떻게 하시나요?",,,qpoll_join_250605
문항1_qpoll_join_250605,"여러분은 버리기 아까운 물건이 있을 때, 주로 어떻게 하시나요?",1,업사이클링(재활용) 시도,qpoll_join_250605
문항1_qpoll_join_250605,"여러분은 버리기 아까운 물건이 있을 때, 주로 어떻게 하시나요?",2,중고로 판매,qpoll_join_250605
문항1_qpoll_join_250605,"여러분은 버리기 아까운 물건이 있을 때, 주로 어떻게 하시나요?",3,기부,qpoll_join_250605
문항1_qpoll_join_250605,"여러분은 버리기 아까운 물건이 있을 때, 주로 어떻게 하시나요?",4,그냥 보관,qpoll_join_250605
문항1_qpoll_join_250605,"여러분은 버리기 아까운 물건이 있을 때, 주로 어떻게 하시나요?",5,바로 버린다,qpoll_join_250605
문항1_qpoll_join_250107,여러분이 현재 이용 중인 OTT 서비스는 몇 개인가요?,,,qpoll_join_250107
문항1_qpoll_join_250107,여러분이 현재 이용 중인 OTT 서비스는 몇 개인가요?,1,1개,qpoll_join_250107
문항1_qpoll_join_250107,여러분이 현재 이용 중인 OTT 서비스는 몇 개인가요?,2,2개,qpoll_join_250107
문항1_qpoll_join_250107,여러분이 현재 이용 중인 OTT 서비스는 몇 개인가요?,3,3개,qpoll_join_250107
문항1_qpoll_join_250107,여러분이 현재 이용 중인 OTT 서비스는 몇 개인가요?,4,4개 이상,qpoll_join_250107
문항1_qpoll_join_250107,여러분이 현재 이용 중인 OTT 서비스는 몇 개인가요?,5,이용하지 않는다,qpoll_join_250107
문항1_qpoll_join_250116,여러분은 전통시장을 얼마나 자주 방문하시나요?,,,qpoll_join_250116
문항1_qpoll_join_250116,여러분은 전통시장을 얼마나 자주 방문하시나요?,1,일주일에 1회 이상,qpoll_join_250116
문항1_qpoll_join_250116,여러분은 전통시장을 얼마나 자주 방문하시나요?,2,2주에 1회 이상,qpoll_join_250116
문항1_qpoll_join_250116,여러분은 전통시장을 얼마나 자주 방문하시나요?,3,한달에 1회 이상,qpoll_join_250116
문항1_qpoll_join_250116,여러분은 전통시장을 얼마나 자주 방문하시나요?,4,3개월에 1회 이상,qpoll_join_250116
문항1_qpoll_join_250116,여러분은 전통시장을 얼마나 자주 방문하시나요?,5,6개월에 1회 이상,qpoll_join_250116
문항1_qpoll_join_250116,여러분은 전통시장을 얼마나 자주 방문하시나요?,6,1년에 1회 이상,qpoll_join_250116
문항1_qpoll_join_250116,여러분은 전통시장을 얼마나 자주 방문하시나요?,7,전혀 방문하지 않음,qpoll_join_250116
문항1_qpoll_join_250317,여러분이 사용해 본 AI 챗봇 서비스는 무엇인가요? 모두 선택해주세요.,,,qpoll_join_250317
문항1_qpoll_join_250317,여러분이 사용해 본 AI 챗봇 서비스는 무엇인가요? 모두 선택해주세요.,1,ChatGPT,qpoll_join_250317
문항1_qpoll_join_250317,여러분이 사용해 본 AI 챗봇 서비스는 무엇인가요? 모두 선택해주세요.,2,딥시크,qpoll_join_250317
문항1_qpoll_join_250317,여러분이 사용해 본 AI 챗봇 서비스는 무엇인가요? 모두 선택해주세요.,3,Gemini (구글),qpoll_join_250317
문항1_qpoll_join_250317,여러분이 사용해 본 AI 챗봇 서비스는 무엇인가요? 모두 선택해주세요.,4,Claude (Anthropic),qpoll_join_250317
문항1_qpoll_join_250317,여러분이 사용해 본 AI 챗봇 서비스는 무엇인가요? 모두 선택해주세요.,5,Copilot (마이크로소프트),qpoll_join_250317
문항1_qpoll_join_250317,여러분이 사용해 본 AI 챗봇 서비스는 무엇인가요? 모두 선택해주세요.,6,HyperCLOVER X (네이버),qpoll_join_250317
문항1_qpoll_join_250317,여러분이 사용해 본 AI 챗봇 서비스는 무엇인가요? 모두 선택해주세요.,7,기타,qpoll_join_250317
문항1_qpoll_join_250317,여러분이 사용해 본 AI 챗봇 서비스는 무엇인가요? 모두 선택해주세요.,8,사용해 본 적 없음,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,,,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,1,보기1,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,2,보기2,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,3,보기3,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,4,보기4,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,5,보기5,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,6,보기6,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,7,보기7,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,8,보기8,qpoll_join_250317
문항1_qpoll_join_250317,사용해 본 AI 챗봇 서비스 중 주로 사용하는 것은 무엇인가요?,,,qpoll_join_250317
문항1_qpoll_join_250317,사용해 본 AI 챗봇 서비스 중 주로 사용하는 것은 무엇인가요?,1,ChatGPT,qpoll_join_250317
문항1_qpoll_join_250317,사용해 본 AI 챗봇 서비스 중 주로 사용하는 것은 무엇인가요?,2,딥시크,qpoll_join_250317
문항1_qpoll_join_250317,사용해 본 AI 챗봇 서비스 중 주로 사용하는 것은 무엇인가요?,3,Gemini (구글),qpoll_join_250317
문항1_qpoll_join_250317,사용해 본 AI 챗봇 서비스 중 주로 사용하는 것은 무엇인가요?,4,Claude (Anthropic),qpoll_join_250317
문항1_qpoll_join_250317,사용해 본 AI 챗봇 서비스 중 주로 사용하는 것은 무엇인가요?,5,Copilot (마이크로소프트),qpoll_join_250317
문항1_qpoll_join_250317,사용해 본 AI 챗봇 서비스 중 주로 사용하는 것은 무엇인가요?,6,HyperCLOVER X (네이버),qpoll_join_250317
문항1_qpoll_join_250317,사용해 본 AI 챗봇 서비스 중 주로 사용하는 것은 무엇인가요?,7,기타,qpoll_join_250317
문항1_qpoll_join_250317,사용해 본 AI 챗봇 서비스 중 주로 사용하는 것은 무엇인가요?,8,사용해 본 적 없음,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,,,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,1,보기1,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,2,보기2,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,3,보기3,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,4,보기4,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,5,보기5,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,6,보기6,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,7,보기7,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,8,보기8,qpoll_join_250317
문항1_qpoll_join_250317,"AI 챗봇 서비스를 주로 어떤 용도로 활용하셨거나, 앞으로 활용하고 싶으신가요?",,,qpoll_join_250317
문항1_qpoll_join_250317,"AI 챗봇 서비스를 주로 어떤 용도로 활용하셨거나, 앞으로 활용하고 싶으신가요?",1,정보 검색 및 질문 해결,qpoll_join_250317
문항1_qpoll_join_250317,"AI 챗봇 서비스를 주로 어떤 용도로 활용하셨거나, 앞으로 활용하고 싶으신가요?",2,"업무 보조(문서작성, 데이터 분석 등)",qpoll_join_250317
문항1_qpoll_join_250317,"AI 챗봇 서비스를 주로 어떤 용도로 활용하셨거나, 앞으로 활용하고 싶으신가요?",3,학습 및 과제 도움,qpoll_join_250317
문항1_qpoll_join_250317,"AI 챗봇 서비스를 주로 어떤 용도로 활용하셨거나, 앞으로 활용하고 싶으신가요?",4,번역 및 언어 학습,qpoll_join_250317
문항1_qpoll_join_250317,"AI 챗봇 서비스를 주로 어떤 용도로 활용하셨거나, 앞으로 활용하고 싶으신가요?",5,"창작 활동(글쓰기, 이미지 생성 등)",qpoll_join_250317
문항1_qpoll_join_250317,"AI 챗봇 서비스를 주로 어떤 용도로 활용하셨거나, 앞으로 활용하고 싶으신가요?",6,"개인 비서(일정 관리, 메모 작성 등)",qpoll_join_250317
문항1_qpoll_join_250317,"AI 챗봇 서비스를 주로 어떤 용도로 활용하셨거나, 앞으로 활용하고 싶으신가요?",7,코딩 및 프로그래밍 도움,qpoll_join_250317
문항1_qpoll_join_250317,"AI 챗봇 서비스를 주로 어떤 용도로 활용하셨거나, 앞으로 활용하고 싶으신가요?",8,기타,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,,,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,1,보기1,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,2,보기2,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,3,총참여자수,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,4,보기1_CNT,qpoll_join_250317
문항1_qpoll_join_250317,설문제목,5,보기2_CNT,qpoll_join_250317
문항1_qpoll_join_250317,"다음 두 서비스 중, 어느 서비스에 더 호감이 가나요? 현재 사용 여부는 고려하지 않고 응답해 주세요.",,,qpoll_join_250317
문항1_qpoll_join_250317,"다음 두 서비스 중, 어느 서비스에 더 호감이 가나요? 현재 사용 여부는 고려하지 않고 응답해 주세요.",1,ChatGPT,qpoll_join_250317
문항1_qpoll_join_250317,"다음 두 서비스 중, 어느 서비스에 더 호감이 가나요? 현재 사용 여부는 고려하지 않고 응답해 주세요.",2,딥시크,qpoll_join_250317
문항1_qpoll_join_250317,"다음 두 서비스 중, 어느 서비스에 더 호감이 가나요? 현재 사용 여부는 고려하지 않고 응답해 주세요.",3,5000,qpoll_join_250317
문항1_qpoll_join_250317,"다음 두 서비스 중, 어느 서비스에 더 호감이 가나요? 현재 사용 여부는 고려하지 않고 응답해 주세요.",4,4184,qpoll_join_250317
문항1_qpoll_join_250317,"다음 두 서비스 중, 어느 서비스에 더 호감이 가나요? 현재 사용 여부는 고려하지 않고 응답해 주세요.",5,815,qpoll_join_250317
문항1_qpoll_join_250710,여러분이 절대 포기할 수 없는 여름 패션 필수템은 무엇인가요?,,,qpoll_join_250710
문항1_qpoll_join_250710,여러분이 절대 포기할 수 없는 여름 패션 필수템은 무엇인가요?,1,민소매,qpoll_join_250710
문항1_qpoll_join_250710,여러분이 절대 포기할 수 없는 여름 패션 필수템은 무엇인가요?,2,얇은 긴팔 셔츠,qpoll_join_250710
문항1_qpoll_join_250710,여러분이 절대 포기할 수 없는 여름 패션 필수템은 무엇인가요?,3,반바지,qpoll_join_250710
문항1_qpoll_join_250710,여러분이 절대 포기할 수 없는 여름 패션 필수템은 무엇인가요?,4,선글라스,qpoll_join_250710
문항1_qpoll_join_250710,여러분이 절대 포기할 수 없는 여름 패션 필수템은 무엇인가요?,5,샌들/슬리퍼,qpoll_join_250710
문항1_qpoll_join_250710,여러분이 절대 포기할 수 없는 여름 패션 필수템은 무엇인가요?,6,린넨셔츠,qpoll_join_250710
문항1_qpoll_join_250710,여러분이 절대 포기할 수 없는 여름 패션 필수템은 무엇인가요?,7,쿨토시/쿨스카프,qpoll_join_250710
문항1_qpoll_join_250710,여러분이 절대 포기할 수 없는 여름 패션 필수템은 무엇인가요?,8,기타,qpoll_join_250710
문항1_qpoll_join_250707,여러분은 초콜릿을 주로 언제 드시나요?,,,qpoll_join_250707
문항1_qpoll_join_250707,여러분은 초콜릿을 주로 언제 드시나요?,1,스트레스를 받을 때,qpoll_join_250707
문항1_qpoll_join_250707,여러분은 초콜릿을 주로 언제 드시나요?,2,기분이 좋을 때,qpoll_join_250707
문항1_qpoll_join_250707,여러분은 초콜릿을 주로 언제 드시나요?,3,간식으로 습관처럼,qpoll_join_250707
문항1_qpoll_join_250707,여러분은 초콜릿을 주로 언제 드시나요?,4,선물로 받았을 때,qpoll_join_250707
문항1_qpoll_join_250707,여러분은 초콜릿을 주로 언제 드시나요?,5,"특별한 날(생일, 발렌타인데이 등)",qpoll_join_250707
문항1_qpoll_join_250707,여러분은 초콜릿을 주로 언제 드시나요?,6,기타,qpoll_join_250707
문항1_qpoll_join_250707,여러분은 초콜릿을 주로 언제 드시나요?,7,거의 먹지 않는다,qpoll_join_250707
문항1_qpoll_join_250204,초등학생 시절 겨울방학 때 가장 기억에 남는 일은 무엇인가요?,,,qpoll_join_250204
문항1_qpoll_join_250204,초등학생 시절 겨울방학 때 가장 기억에 남는 일은 무엇인가요?,1,가족과 함께 떠난 여행,qpoll_join_250204
문항1_qpoll_join_250204,초등학생 시절 겨울방학 때 가장 기억에 남는 일은 무엇인가요?,2,겨울방학 숙제를 끝낸 순간,qpoll_join_250204
문항1_qpoll_join_250204,초등학생 시절 겨울방학 때 가장 기억에 남는 일은 무엇인가요?,3,방학 동안 다녔던 학원이나 특별 활동,qpoll_join_250204
문항1_qpoll_join_250204,초등학생 시절 겨울방학 때 가장 기억에 남는 일은 무엇인가요?,4,친구들과 보낸 즐거운 시간,qpoll_join_250204
문항1_qpoll_join_250204,초등학생 시절 겨울방학 때 가장 기억에 남는 일은 무엇인가요?,5,"눈썰매, 스키 등 겨울 스포츠",qpoll_join_250204
