질문코드,질문내용,보기번호,보기내용,파일명
문항1_qpoll_join_250204,초등학생 시절 겨울방학 때 가장 기억에 남는 일은 무엇인가요?,6,눈사람 만들기,qpoll_join_250204
문항1_qpoll_join_250204,초등학생 시절 겨울방학 때 가장 기억에 남는 일은 무엇인가요?,7,기타,qpoll_join_250204
문항1_qpoll_join_250619,여러분이 지금까지 해본 다이어트 중 가장 효과 있었던 방법은 무엇인가요?,,,qpoll_join_250619
문항1_qpoll_join_250619,여러분이 지금까지 해본 다이어트 중 가장 효과 있었던 방법은 무엇인가요?,1,하루 세 끼를 규칙적으로 소식하기,qpoll_join_250619
문항1_qpoll_join_250619,여러분이 지금까지 해본 다이어트 중 가장 효과 있었던 방법은 무엇인가요?,2,간헐적 단식(예: 16시간 공복),qpoll_join_250619
문항1_qpoll_join_250619,여러분이 지금까지 해본 다이어트 중 가장 효과 있었던 방법은 무엇인가요?,3,저탄고지/단백질 위주 식단,qpoll_join_250619
문항1_qpoll_join_250619,여러분이 지금까지 해본 다이어트 중 가장 효과 있었던 방법은 무엇인가요?,4,꾸준한 유산소 운동,qpoll_join_250619
문항1_qpoll_join_250619,여러분이 지금까지 해본 다이어트 중 가장 효과 있었던 방법은 무엇인가요?,5,헬스장 또는 홈트레이닝,qpoll_join_250619
문항1_qpoll_join_250619,여러분이 지금까지 해본 다이어트 중 가장 효과 있었던 방법은 무엇인가요?,6,식욕 억제제 또는 다이어트 보조제 섭취,qpoll_join_250619
문항1_qpoll_join_250619,여러분이 지금까지 해본 다이어트 중 가장 효과 있었던 방법은 무엇인가요?,7,기타,qpoll_join_250619
문항1_qpoll_join_250619,여러분이 지금까지 해본 다이어트 중 가장 효과 있었던 방법은 무엇인가요?,8,없다,qpoll_join_250619
문항1_qpoll_join_250224,여러분은 본인을 위해 소비하는 것 중 가장 기분 좋아지는 소비는 무엇인가요?,,,qpoll_join_250224
문항1_qpoll_join_250224,여러분은 본인을 위해 소비하는 것 중 가장 기분 좋아지는 소비는 무엇인가요?,1,맛있는 음식 먹기,qpoll_join_250224
문항1_qpoll_join_250224,여러분은 본인을 위해 소비하는 것 중 가장 기분 좋아지는 소비는 무엇인가요?,2,여행 가기,qpoll_join_250224
문항1_qpoll_join_250224,여러분은 본인을 위해 소비하는 것 중 가장 기분 좋아지는 소비는 무엇인가요?,3,옷/패션관련 제품 구매하기,qpoll_join_250224
문항1_qpoll_join_250224,여러분은 본인을 위해 소비하는 것 중 가장 기분 좋아지는 소비는 무엇인가요?,4,취미관련 제품 구매하기,qpoll_join_250224
문항1_qpoll_join_250224,여러분은 본인을 위해 소비하는 것 중 가장 기분 좋아지는 소비는 무엇인가요?,5,기타,qpoll_join_250224
문항1_qpoll_join_250623,여러분의 여름철 최애 간식은 무엇인가요?,,,qpoll_join_250623
문항1_qpoll_join_250623,여러분의 여름철 최애 간식은 무엇인가요?,1,"제철과일(수박, 참외 등)",qpoll_join_250623
문항1_qpoll_join_250623,여러분의 여름철 최애 간식은 무엇인가요?,2,아이스크림,qpoll_join_250623
문항1_qpoll_join_250623,여러분의 여름철 최애 간식은 무엇인가요?,3,냉면,qpoll_join_250623
문항1_qpoll_join_250623,여러분의 여름철 최애 간식은 무엇인가요?,4,빙수,qpoll_join_250623
문항1_qpoll_join_250623,여러분의 여름철 최애 간식은 무엇인가요?,5,기타,qpoll_join_250623
문항1_qpoll_join_250623,여러분의 여름철 최애 간식은 무엇인가요?,6,없다,qpoll_join_250623
문항1_qpoll_join_250620,여러분은 야식을 먹을 때 보통 어떤 방법으로 드시나요?,,,qpoll_join_250620
문항1_qpoll_join_250620,여러분은 야식을 먹을 때 보통 어떤 방법으로 드시나요?,1,배달 주문해서 먹는다,qpoll_join_250620
문항1_qpoll_join_250620,여러분은 야식을 먹을 때 보통 어떤 방법으로 드시나요?,2,집에서 직접 만들어 먹는다,qpoll_join_250620
문항1_qpoll_join_250620,여러분은 야식을 먹을 때 보통 어떤 방법으로 드시나요?,3,직접 사와서 먹는다,qpoll_join_250620
문항1_qpoll_join_250620,여러분은 야식을 먹을 때 보통 어떤 방법으로 드시나요?,4,외출해서 식당이나 포장마차 등에서 먹는다,qpoll_join_250620
문항1_qpoll_join_250620,여러분은 야식을 먹을 때 보통 어떤 방법으로 드시나요?,5,야식을 거의 먹지 않는다,qpoll_join_250620
문항1_qpoll_join_250616,여러분이 가장 중요하다고 생각하는 행복한 노년의 조건은 무엇인가요?,,,qpoll_join_250616
문항1_qpoll_join_250616,여러분이 가장 중요하다고 생각하는 행복한 노년의 조건은 무엇인가요?,1,건강한 몸과 마음,qpoll_join_250616
문항1_qpoll_join_250616,여러분이 가장 중요하다고 생각하는 행복한 노년의 조건은 무엇인가요?,2,안정적인 경제력,qpoll_join_250616
문항1_qpoll_join_250616,여러분이 가장 중요하다고 생각하는 행복한 노년의 조건은 무엇인가요?,3,가족 또는 친구와의 친밀한 관계,qpoll_join_250616
문항1_qpoll_join_250616,여러분이 가장 중요하다고 생각하는 행복한 노년의 조건은 무엇인가요?,4,여가과 취미를 즐길 수 있는 시간과 여유,qpoll_join_250616
문항1_qpoll_join_250616,여러분이 가장 중요하다고 생각하는 행복한 노년의 조건은 무엇인가요?,5,사회와의 적절한 연결감,qpoll_join_250616
문항1_qpoll_join_250704,"여러분은 할인, 캐시백, 멤버십 등 포인트 적립 혜택을 얼마나 신경 쓰시나요?",,,qpoll_join_250704
문항1_qpoll_join_250704,"여러분은 할인, 캐시백, 멤버십 등 포인트 적립 혜택을 얼마나 신경 쓰시나요?",1,매우 꼼꼼하게 챙긴다,qpoll_join_250704
문항1_qpoll_join_250704,"여러분은 할인, 캐시백, 멤버십 등 포인트 적립 혜택을 얼마나 신경 쓰시나요?",2,자주 쓰는 곳만 챙긴다,qpoll_join_250704
문항1_qpoll_join_250704,"여러분은 할인, 캐시백, 멤버십 등 포인트 적립 혜택을 얼마나 신경 쓰시나요?",3,가끔 생각날 때만 챙긴다,qpoll_join_250704
문항1_qpoll_join_250704,"여러분은 할인, 캐시백, 멤버십 등 포인트 적립 혜택을 얼마나 신경 쓰시나요?",4,거의 신경쓰지 않는다,qpoll_join_250704
문항1_qpoll_join_250704,"여러분은 할인, 캐시백, 멤버십 등 포인트 적립 혜택을 얼마나 신경 쓰시나요?",5,전혀 관심 없다,qpoll_join_250704
문항1_qpoll_join_250206,여러분은 반려동물을 키우는 중이시거나 혹은 키워보신 적이 있으신가요?,,,qpoll_join_250206
문항1_qpoll_join_250206,여러분은 반려동물을 키우는 중이시거나 혹은 키워보신 적이 있으신가요?,1,반려동물을 키우는 중이다,qpoll_join_250206
문항1_qpoll_join_250206,여러분은 반려동물을 키우는 중이시거나 혹은 키워보신 적이 있으신가요?,2,반려동물을 키워본 적이 있다,qpoll_join_250206
문항1_qpoll_join_250206,여러분은 반려동물을 키우는 중이시거나 혹은 키워보신 적이 있으신가요?,3,반려동물을 키워본 적이 없다,qpoll_join_250206
문항1_qpoll_join_250617,여름철 땀 때문에 겪는 불편함은 어떤 것이 있는지 모두 선택해주세요.,,,qpoll_join_250617
문항1_qpoll_join_250617,여름철 땀 때문에 겪는 불편함은 어떤 것이 있는지 모두 선택해주세요.,1,옷이 젖거나 얼룩지는 것이 신경쓰인다,qpoll_join_250617
문항1_qpoll_join_250617,여름철 땀 때문에 겪는 불편함은 어떤 것이 있는지 모두 선택해주세요.,2,땀 냄새가 걱정된다,qpoll_join_250617
문항1_qpoll_join_250617,여름철 땀 때문에 겪는 불편함은 어떤 것이 있는지 모두 선택해주세요.,3,메이크업이 무너진다,qpoll_join_250617
문항1_qpoll_join_250617,여름철 땀 때문에 겪는 불편함은 어떤 것이 있는지 모두 선택해주세요.,4,머리나 두피가 금방 기름진다,qpoll_join_250617
문항1_qpoll_join_250617,여름철 땀 때문에 겪는 불편함은 어떤 것이 있는지 모두 선택해주세요.,5,피부 트러블이 생긴다,qpoll_join_250617
문항1_qpoll_join_250617,여름철 땀 때문에 겪는 불편함은 어떤 것이 있는지 모두 선택해주세요.,6,다른 사람의 땀 냄새가 불쾌하다,qpoll_join_250617
문항1_qpoll_join_250617,여름철 땀 때문에 겪는 불편함은 어떤 것이 있는지 모두 선택해주세요.,7,특별히 불편한 점이 없다,qpoll_join_250617
문항1_qpoll_join_250226,여러분은 요즘 가장 많이 사용하는 앱은 무엇인가요?,,,qpoll_join_250226
문항1_qpoll_join_250226,여러분은 요즘 가장 많이 사용하는 앱은 무엇인가요?,1,"SNS 앱 (인스타그램, 페이스북, 틱톡 등)",qpoll_join_250226
문항1_qpoll_join_250226,여러분은 요즘 가장 많이 사용하는 앱은 무엇인가요?,2,"동영상 스트리밍 앱 (유튜브, 넷플릭스 등)",qpoll_join_250226
문항1_qpoll_join_250226,여러분은 요즘 가장 많이 사용하는 앱은 무엇인가요?,3,"메신저 앱 (카카오톡, 문자 등)",qpoll_join_250226
문항1_qpoll_join_250226,여러분은 요즘 가장 많이 사용하는 앱은 무엇인가요?,4,"쇼핑/배달 앱 (쿠팡, 배달의민족, 무신사 등)",qpoll_join_250226
문항1_qpoll_join_250226,여러분은 요즘 가장 많이 사용하는 앱은 무엇인가요?,5,금융 앱,qpoll_join_250226
문항1_qpoll_join_250226,여러분은 요즘 가장 많이 사용하는 앱은 무엇인가요?,6,운동/건강 앱,qpoll_join_250226
문항1_qpoll_join_250226,여러분은 요즘 가장 많이 사용하는 앱은 무엇인가요?,7,게임 앱,qpoll_join_250226
문항1_qpoll_join_250226,여러분은 요즘 가장 많이 사용하는 앱은 무엇인가요?,8,기타,qpoll_join_250226
문항1_qpoll_join_250123,여러분이 가장 선호하는 설 선물 유형은 무엇인가요?,,,qpoll_join_250123
문항1_qpoll_join_250123,여러분이 가장 선호하는 설 선물 유형은 무엇인가요?,1,"전통 선물 세트(한우, 굴비, 과일 등)",qpoll_join_250123
문항1_qpoll_join_250123,여러분이 가장 선호하는 설 선물 유형은 무엇인가요?,2,"실용적인 생필품(샴푸, 세제, 식용유 등)",qpoll_join_250123
문항1_qpoll_join_250123,여러분이 가장 선호하는 설 선물 유형은 무엇인가요?,3,"건강식품(홍삼, 비타민 등)",qpoll_join_250123
문항1_qpoll_join_250123,여러분이 가장 선호하는 설 선물 유형은 무엇인가요?,4,백화점 상품권/현금,qpoll_join_250123
문항1_qpoll_join_250123,여러분이 가장 선호하는 설 선물 유형은 무엇인가요?,5,기타,qpoll_join_250123
문항1_qpoll_join_250123,여러분이 가장 선호하는 설 선물 유형은 무엇인가요?,6,선호하는 선물이 없다,qpoll_join_250123
문항1_qpoll_join_250709,여러분은 평소 개인정보보호를 위해 어떤 습관이 있으신가요?,,,qpoll_join_250709
문항1_qpoll_join_250709,여러분은 평소 개인정보보호를 위해 어떤 습관이 있으신가요?,1,비밀번호를 주기적으로 바꾼다,qpoll_join_250709
문항1_qpoll_join_250709,여러분은 평소 개인정보보호를 위해 어떤 습관이 있으신가요?,2,이중 인증(OTP 등)을 설정한다,qpoll_join_250709
문항1_qpoll_join_250709,여러분은 평소 개인정보보호를 위해 어떤 습관이 있으신가요?,3,의심스러운 링크/앱은 클릭하지 않는다,qpoll_join_250709
문항1_qpoll_join_250709,여러분은 평소 개인정보보호를 위해 어떤 습관이 있으신가요?,4,공공 와이파이 사용을 자제한다,qpoll_join_250709
문항1_qpoll_join_250709,여러분은 평소 개인정보보호를 위해 어떤 습관이 있으신가요?,5,개인정보 제공 동의 시 꼼꼼히 읽는다,qpoll_join_250709
문항1_qpoll_join_250709,여러분은 평소 개인정보보호를 위해 어떤 습관이 있으신가요?,6,기타,qpoll_join_250709
문항1_qpoll_join_250709,여러분은 평소 개인정보보호를 위해 어떤 습관이 있으신가요?,7,따로 실천하는 게 없다,qpoll_join_250709
문항1_qpoll_join_250610,여러분은 아침에 기상하기 위해 어떤 방식으로 알람을 설정해두시나요?,,,qpoll_join_250610
문항1_qpoll_join_250610,여러분은 아침에 기상하기 위해 어떤 방식으로 알람을 설정해두시나요?,1,여러 개의 알람을 짧은 간격으로 설정해둔다,qpoll_join_250610
문항1_qpoll_join_250610,여러분은 아침에 기상하기 위해 어떤 방식으로 알람을 설정해두시나요?,2,한 개만 설정해놓고 바로 일어난다,qpoll_join_250610
문항1_qpoll_join_250702,어려분은 여행갈 때 어떤 스타일에 더 가까우신가요?,,,qpoll_join_250702
문항1_qpoll_join_250702,어려분은 여행갈 때 어떤 스타일에 더 가까우신가요?,1,"계획형(여행 전부터 동선, 맛집, 숙소까지 꼼꼼히 준비)",qpoll_join_250702
문항1_qpoll_join_250702,어려분은 여행갈 때 어떤 스타일에 더 가까우신가요?,2,즉흥형(가서 보고 느끼는 대로 움직이는 걸 선호),qpoll_join_250702
문항1_qpoll_join_250702,어려분은 여행갈 때 어떤 스타일에 더 가까우신가요?,3,반반형(큰 틀만 정하고 세부 일정은 현지에서 정함),qpoll_join_250702
문항1_qpoll_join_250702,어려분은 여행갈 때 어떤 스타일에 더 가까우신가요?,4,잘 모르겠다,qpoll_join_250702
문항1_qpoll_join_250714,갑작스런 비로 우산이 없을 때 여러분은 어떻게 하시나요?,,,qpoll_join_250714
문항1_qpoll_join_250714,갑작스런 비로 우산이 없을 때 여러분은 어떻게 하시나요?,1,그냥 비를 맞고 간다,qpoll_join_250714
문항1_qpoll_join_250714,갑작스런 비로 우산이 없을 때 여러분은 어떻게 하시나요?,2,편의점에서 우산을 산다,qpoll_join_250714
문항1_qpoll_join_250714,갑작스런 비로 우산이 없을 때 여러분은 어떻게 하시나요?,3,근처 비를 피할 수 있는 곳으로 뛰어간다,qpoll_join_250714
문항1_qpoll_join_250714,갑작스런 비로 우산이 없을 때 여러분은 어떻게 하시나요?,4,가족/친구 등 주변지인에게 연락한다,qpoll_join_250714
문항1_qpoll_join_250714,갑작스런 비로 우산이 없을 때 여러분은 어떻게 하시나요?,5,기타,qpoll_join_250714
문항1_qpoll_join_250221,여러분은 이사할 때 가장 스트레스 받는 부분은 어떤걸까요?,,,qpoll_join_250221
문항1_qpoll_join_250221,여러분은 이사할 때 가장 스트레스 받는 부분은 어떤걸까요?,1,비용 부담,qpoll_join_250221
문항1_qpoll_join_250221,여러분은 이사할 때 가장 스트레스 받는 부분은 어떤걸까요?,2,짐 싸고 풀기,qpoll_join_250221
문항1_qpoll_join_250221,여러분은 이사할 때 가장 스트레스 받는 부분은 어떤걸까요?,3,이사업체 선택,qpoll_join_250221
문항1_qpoll_join_250221,여러분은 이사할 때 가장 스트레스 받는 부분은 어떤걸까요?,4,새로운 환경 적응,qpoll_join_250221
문항1_qpoll_join_250221,여러분은 이사할 때 가장 스트레스 받는 부분은 어떤걸까요?,5,기타,qpoll_join_250221
문항1_qpoll_join_250221,여러분은 이사할 때 가장 스트레스 받는 부분은 어떤걸까요?,6,스트레스 받지 않는다,qpoll_join_250221
문항1_qpoll_join_250626,여러분은 요즘 어떤 분야에서 AI 서비스를 활용하고 계신가요?,,,qpoll_join_250626
문항1_qpoll_join_250626,여러분은 요즘 어떤 분야에서 AI 서비스를 활용하고 계신가요?,1,"업무 보조 (문서 작성, 이메일 등)",qpoll_join_250626
문항1_qpoll_join_250626,여러분은 요즘 어떤 분야에서 AI 서비스를 활용하고 계신가요?,2,학습/공부 보조,qpoll_join_250626
문항1_qpoll_join_250626,여러분은 요즘 어떤 분야에서 AI 서비스를 활용하고 계신가요?,3,번역이나 외국어 학습,qpoll_join_250626
문항1_qpoll_join_250626,여러분은 요즘 어떤 분야에서 AI 서비스를 활용하고 계신가요?,4,이미지 생성 또는 디자인 참고,qpoll_join_250626
문항1_qpoll_join_250626,여러분은 요즘 어떤 분야에서 AI 서비스를 활용하고 계신가요?,5,"콘텐츠 제작 (블로그, 영상 기획 등)",qpoll_join_250626
문항1_qpoll_join_250626,여러분은 요즘 어떤 분야에서 AI 서비스를 활용하고 계신가요?,6,검색/정보 탐색,qpoll_join_250626
문항1_qpoll_join_250626,여러분은 요즘 어떤 분야에서 AI 서비스를 활용하고 계신가요?,7,기타,qpoll_join_250626
문항1_qpoll_join_250626,여러분은 요즘 어떤 분야에서 AI 서비스를 활용하고 계신가요?,8,AI 서베스를 사용해본 적 없다,qpoll_join_250626
문항1_qpoll_join_250723,여러분이 여름철 물놀이 장소로 가장 선호하는 곳은 어디입니까?,,,qpoll_join_250723
문항1_qpoll_join_250723,여러분이 여름철 물놀이 장소로 가장 선호하는 곳은 어디입니까?,1,워터파크,qpoll_join_250723
문항1_qpoll_join_250723,여러분이 여름철 물놀이 장소로 가장 선호하는 곳은 어디입니까?,2,계곡,qpoll_join_250723
문항1_qpoll_join_250723,여러분이 여름철 물놀이 장소로 가장 선호하는 곳은 어디입니까?,3,해변,qpoll_join_250723
문항1_qpoll_join_250723,여러분이 여름철 물놀이 장소로 가장 선호하는 곳은 어디입니까?,4,기타,qpoll_join_250723
문항1_qpoll_join_250723,여러분이 여름철 물놀이 장소로 가장 선호하는 곳은 어디입니까?,5,물놀이를 좋아하지 않는다,qpoll_join_250723
문항1_qpoll_join_250627,여러분은 본인을 미니멀리스트와 맥시멀리스트 중 어디에 더 가깝다고 생각하시나요?,,,qpoll_join_250627
문항1_qpoll_join_250627,여러분은 본인을 미니멀리스트와 맥시멀리스트 중 어디에 더 가깝다고 생각하시나요?,1,미니멀리스트(최소한의 물건만 소유),qpoll_join_250627
문항1_qpoll_join_250627,여러분은 본인을 미니멀리스트와 맥시멀리스트 중 어디에 더 가깝다고 생각하시나요?,2,맥시멀리스트(다양한 물건을 많이 소유),qpoll_join_250627
문항1_qpoll_join_250328,빠른 배송(당일·새벽·직진 배송) 서비스를 주로 어떤 제품을 구매할 때 이용하시나요?,,,qpoll_join_250328
문항1_qpoll_join_250328,빠른 배송(당일·새벽·직진 배송) 서비스를 주로 어떤 제품을 구매할 때 이용하시나요?,1,"신선식품(과일, 채소, 육류 등)",qpoll_join_250328
문항1_qpoll_join_250328,빠른 배송(당일·새벽·직진 배송) 서비스를 주로 어떤 제품을 구매할 때 이용하시나요?,2,"생활용품(생필품, 위생용품 등)",qpoll_join_250328
문항1_qpoll_join_250328,빠른 배송(당일·새벽·직진 배송) 서비스를 주로 어떤 제품을 구매할 때 이용하시나요?,3,전자기기 및 가전제품,qpoll_join_250328
문항1_qpoll_join_250328,빠른 배송(당일·새벽·직진 배송) 서비스를 주로 어떤 제품을 구매할 때 이용하시나요?,4,패션·뷰티 제품,qpoll_join_250328
문항1_qpoll_join_250328,빠른 배송(당일·새벽·직진 배송) 서비스를 주로 어떤 제품을 구매할 때 이용하시나요?,5,기타,qpoll_join_250328
문항1_qpoll_join_250328,빠른 배송(당일·새벽·직진 배송) 서비스를 주로 어떤 제품을 구매할 때 이용하시나요?,6,빠른 배송 서비스를 이용해 본 적 없다,qpoll_join_250328
문항1_qpoll_join_250703,평소 일회용 비닐봉투 사용을 줄이기 위해 어떤 노력을 하고 계신가요?,,,qpoll_join_250703
문항1_qpoll_join_250703,평소 일회용 비닐봉투 사용을 줄이기 위해 어떤 노력을 하고 계신가요?,1,장바구니나 에코백을 챙긴다,qpoll_join_250703
문항1_qpoll_join_250703,평소 일회용 비닐봉투 사용을 줄이기 위해 어떤 노력을 하고 계신가요?,2,비닐 대신 종이봉투나 박스를 활용한다,qpoll_join_250703
문항1_qpoll_join_250703,평소 일회용 비닐봉투 사용을 줄이기 위해 어떤 노력을 하고 계신가요?,3,아예 쇼핑할 때 봉투를 받지 않는다,qpoll_join_250703
문항1_qpoll_join_250703,평소 일회용 비닐봉투 사용을 줄이기 위해 어떤 노력을 하고 계신가요?,4,편의점이나 마트에서 유료 봉투를 아깝더라도 산다,qpoll_join_250703
문항1_qpoll_join_250703,평소 일회용 비닐봉투 사용을 줄이기 위해 어떤 노력을 하고 계신가요?,5,기타,qpoll_join_250703
문항1_qpoll_join_250703,평소 일회용 비닐봉투 사용을 줄이기 위해 어떤 노력을 하고 계신가요?,6,따로 노력하고 있지 않다,qpoll_join_250703
문항1_qpoll_join_250611,여러분은 외부 식당에서 혼자 식사하는 빈도는 어느 정도인가요?,,,qpoll_join_250611
문항1_qpoll_join_250611,여러분은 외부 식당에서 혼자 식사하는 빈도는 어느 정도인가요?,1,거의 매일,qpoll_join_250611
문항1_qpoll_join_250611,여러분은 외부 식당에서 혼자 식사하는 빈도는 어느 정도인가요?,2,주 2~3회 정도,qpoll_join_250611
문항1_qpoll_join_250611,여러분은 외부 식당에서 혼자 식사하는 빈도는 어느 정도인가요?,3,주 1회 정도,qpoll_join_250611
문항1_qpoll_join_250611,여러분은 외부 식당에서 혼자 식사하는 빈도는 어느 정도인가요?,4,월 1~2회 정도,qpoll_join_250611
문항1_qpoll_join_250611,여러분은 외부 식당에서 혼자 식사하는 빈도는 어느 정도인가요?,5,거의 하지 않거나 한 번도 해본 적 없다,qpoll_join_250611
문항1_qpoll_join_250304,다음 중 가장 스트레스를 많이 느끼는 상황은 무엇인가요?,,,qpoll_join_250304
문항1_qpoll_join_250304,다음 중 가장 스트레스를 많이 느끼는 상황은 무엇인가요?,1,업무 / 학업,qpoll_join_250304
문항1_qpoll_join_250304,다음 중 가장 스트레스를 많이 느끼는 상황은 무엇인가요?,2,출퇴근,qpoll_join_250304
문항1_qpoll_join_250304,다음 중 가장 스트레스를 많이 느끼는 상황은 무엇인가요?,3,"인간관계 (가족, 친구, 직장 등)",qpoll_join_250304
문항1_qpoll_join_250304,다음 중 가장 스트레스를 많이 느끼는 상황은 무엇인가요?,4,경제적 문제,qpoll_join_250304
문항1_qpoll_join_250304,다음 중 가장 스트레스를 많이 느끼는 상황은 무엇인가요?,5,건강 문제,qpoll_join_250304
문항1_qpoll_join_250304,다음 중 가장 스트레스를 많이 느끼는 상황은 무엇인가요?,6,기타,qpoll_join_250304
문항1_qpoll_join_250304,설문제목,,,qpoll_join_250304
문항1_qpoll_join_250304,설문제목,1,보기1,qpoll_join_250304
문항1_qpoll_join_250304,설문제목,2,보기2,qpoll_join_250304
문항1_qpoll_join_250304,설문제목,3,보기3,qpoll_join_250304
문항1_qpoll_join_250304,설문제목,4,보기4,qpoll_join_250304
문항1_qpoll_join_250304,설문제목,5,보기5,qpoll_join_250304
문항1_qpoll_join_250304,설문제목,6,보기6,qpoll_join_250304
문항1_qpoll_join_250304,스트레스를 해소하는 방법으로 주로 사용하는 것은 무엇인가요?,,,qpoll_join_250304
문항1_qpoll_join_250304,스트레스를 해소하는 방법으로 주로 사용하는 것은 무엇인가요?,1,수면,qpoll_join_250304
문항1_qpoll_join_250304,스트레스를 해소하는 방법으로 주로 사용하는 것은 무엇인가요?,2,음식 섭취,qpoll_join_250304
문항1_qpoll_join_250304,스트레스를 해소하는 방법으로 주로 사용하는 것은 무엇인가요?,3,운동,qpoll_join_250304
문항1_qpoll_join_250304,스트레스를 해소하는 방법으로 주로 사용하는 것은 무엇인가요?,4,명상 / 휴식,qpoll_join_250304
문항1_qpoll_join_250304,스트레스를 해소하는 방법으로 주로 사용하는 것은 무엇인가요?,5,마사지 / 스파,qpoll_join_250304
문항1_qpoll_join_250304,스트레스를 해소하는 방법으로 주로 사용하는 것은 무엇인가요?,6,기타,qpoll_join_250304
